City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
504,villa gesell,-37.2639,-56.973,10.59,59,3,4.74,AR,1693164417
505,nagqu,31.5,92.0,3.4,97,100,1.64,CN,1693164663
506,ko pha ngan,9.7578,100.0291,25.85,75,100,7.7,TH,1693164664
507,gap,44.6667,6.0,7.68,92,100,3.61,FR,1693164664
508,yarkovo,57.4028,67.0786,10.69,76,87,1.57,RU,1693164664
509,port saint john's,-31.6229,29.5448,15.18,74,1,1.92,ZA,1693164664
510,talara,-4.5772,-81.2719,27.42,61,0,7.98,PE,1693164664
511,puyang,29.4603,119.8861,24.41,95,97,1.13,CN,1693164665
512,dudinka,69.4058,86.1778,12.27,64,100,4.96,RU,1693164665
513,poronaysk,49.2167,143.1167,13.63,94,95,1.0,RU,1693164665
514,tamiahua,21.2667,-97.45,31.27,59,12,4.36,MX,1693164665
515,nuriootpa,-34.4833,139.0,6.32,68,100,1.52,AU,1693164666
516,naryn,41.4287,75.9911,10.08,93,100,2.08,KG,1693164666
517,karratha,-20.7377,116.8463,20.4,49,2,2.43,AU,1693164666
518,shimoda,34.6667,138.95,24.5,86,100,3.91,JP,1693164667
519,preobrazheniye,42.9019,133.9064,18.67,88,100,4.01,RU,1693164667
520,weyburn,49.6668,-103.8511,30.12,17,0,8.23,CA,1693164611
521,altamont,42.2068,-121.7372,26.89,35,0,7.15,US,1693164667
522,kruisfontein,-34.0033,24.7314,11.6,85,0,1.6,ZA,1693164667
523,camayenne,9.535,-13.6878,29.05,79,40,3.09,GN,1693164667
524,kuala belait,4.5833,114.1833,25.09,92,81,2.71,BN,1693164668
525,kalmunai,7.4167,81.8167,27.7,75,66,2.45,LK,1693164668
526,zakynthos,37.7914,20.8953,26.62,61,20,0.0,GR,1693164668
527,vadso,70.0744,29.7487,9.49,93,0,4.12,NO,1693164668
528,al bardiyah,31.7561,25.0865,26.65,76,0,6.49,LY,1693164668
529,parry sound,45.3501,-80.033,22.03,43,0,2.82,CA,1693164668
530,alo,7.4178,6.7371,23.16,95,100,0.7,NG,1693164669
531,nguigmi,14.2495,13.1092,29.53,61,41,9.78,NE,1693164669
532,amta,22.58,88.0083,29.96,76,96,3.18,IN,1693164669
533,kotlas,61.2611,46.6556,7.12,97,100,2.53,RU,1693164669
534,yavatmal,20.4,78.1333,23.47,82,91,3.09,IN,1693164669
535,tazacorte,28.629,-17.9293,24.54,78,75,9.26,ES,1693164627
536,bontoc,17.0899,120.978,20.04,98,100,1.1,PH,1693164669
537,tralee,52.2704,-9.7026,14.1,88,100,3.97,IE,1693164670
538,hue,16.4667,107.6,29.06,70,20,1.54,VN,1693164670
539,pisco,-13.7,-76.2167,21.03,73,0,5.14,PE,1693164670
540,singaraja,-8.112,115.0882,23.69,83,16,1.49,ID,1693164670
541,anjiang,27.3194,110.1031,20.53,96,100,2.2,CN,1693164671
542,zapata,26.9073,-99.2714,38.06,25,0,0.0,US,1693164559
